test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
lu.C,node06-1,06-16-20-17:37:04,664.91,664.774169,0.000300,2.625288,251,0,0,0,0
lu.C,node06-1,06-16-20-20:32:09,672.53,672.400456,0.000296,2.655727,251,0,0,0,0
lu.C,node06-2,06-16-20-12:02:12,359.35,359.215500,0.000295,1.418084,251,0,0,0,0
lu.C,node06-2,06-16-20-17:48:09,355.85,355.716973,0.000340,1.404086,251,0,0,0,0
lu.C,node06-2,06-16-20-20:43:21,360.11,359.985849,0.000296,1.421213,251,0,0,0,0
lu.C,node06-4,06-16-20-12:08:12,194.67,194.542407,0.000272,0.767408,251,0,0,0,0
lu.C,node06-4,06-16-20-17:54:04,194.39,194.253634,0.000276,0.766213,251,0,0,0,0
lu.C,node06-4,06-16-20-20:49:21,196.17,196.044137,0.000282,0.773293,251,0,0,0,0
lu.C,node06-8,06-16-20-12:11:26,120.88,120.756152,0.000239,0.475993,251,0,0,0,0
lu.C,node06-8,06-16-20-17:57:19,120.73,120.607939,0.000241,0.475493,251,0,0,0,0
lu.C,node06-8,06-16-20-20:52:38,120.83,120.707110,0.000245,0.475871,251,0,0,0,0
lu.C,t3.large-2,06-17-20-12:41:52,120.83,286.307824,0.000275,1.129962,251,0,0,0,0
lu.C,t3.large-4,06-17-20-13:26:07,120.83,148.275860,0.000292,0.584917,251,0,0,0,0
sp.B,node06-1,06-16-20-13:39:04,211.94,211.700179,0.000854,0.524140,400,0,0,0,0
sp.B,node06-1,06-16-20-19:25:02,212.91,212.677096,0.000870,0.526558,400,0,0,0,0
sp.B,node06-1,06-16-20-22:20:17,213.86,213.605986,0.000868,0.528785,400,0,0,0,0
sp.B,node06-2,06-16-20-13:42:36,220.89,220.626814,0.000867,0.546183,400,0,0,0,0
sp.B,node06-2,06-16-20-19:28:35,220.48,220.229086,0.000870,0.545246,400,0,0,0,0
sp.B,node06-2,06-16-20-22:23:51,219.59,219.342832,0.000856,0.543043,400,0,0,0,0
sp.B,node06-4,06-16-20-13:46:17,78.69,78.424097,0.000903,0.194355,400,0,0,0,0
sp.B,node06-4,06-16-20-19:32:16,78.66,78.396437,0.000904,0.194270,400,0,0,0,0
sp.B,node06-4,06-16-20-22:27:30,78.55,78.292448,0.000909,0.194017,400,0,0,0,0
sp.B,node06-8,06-16-20-13:47:35,78.95,78.688262,0.000906,0.195060,400,0,0,0,0
sp.B,node06-8,06-16-20-19:33:34,78.98,78.724854,0.000906,0.195105,400,0,0,0,0
sp.B,node06-8,06-16-20-22:28:49,78.96,78.702051,0.001147,0.195031,400,0,0,0,0
sp.B,t3.large-2,06-17-20-12:23:03,78.96,188.563159,0.000933,0.466817,400,0,0,0,0
sp.B,t3.large-4,06-17-20-13:19:32,78.96,41.889233,0.000929,0.103634,400,0,0,0,0
sp.C,node06-1,06-16-20-13:48:54,841.64,841.352066,0.000807,2.082181,400,0,0,0,0
sp.C,node06-1,06-16-20-19:34:53,842.91,842.633012,0.000805,2.085256,400,0,0,0,0
sp.C,node06-1,06-16-20-22:30:08,856.83,856.577501,0.000818,2.119680,400,0,0,0,0
sp.C,node06-2,06-16-20-14:02:56,881.28,880.982291,0.000863,2.180091,400,0,0,0,0
sp.C,node06-2,06-16-20-19:48:56,881.29,881.000285,0.000829,2.180025,400,0,0,0,0
sp.C,node06-2,06-16-20-22:44:25,877.34,877.044817,0.000812,2.170568,400,0,0,0,0
sp.C,node06-4,06-16-20-14:17:37,360.89,360.606985,0.000848,0.893784,400,0,0,0,0
sp.C,node06-4,06-16-20-20:03:37,362.48,362.197560,0.000844,0.897667,400,0,0,0,0
sp.C,node06-4,06-16-20-22:59:02,361.97,361.682976,0.000848,0.896429,400,0,0,0,0
sp.C,node06-8,06-16-20-14:23:38,362.34,362.021540,0.000853,0.897282,400,0,0,0,0
sp.C,node06-8,06-16-20-20:09:40,362.59,362.317730,0.000837,0.898066,400,0,0,0,0
sp.C,node06-8,06-16-20-23:05:04,361.88,361.590438,0.000853,0.896268,400,0,0,0,0
sp.C,t3.large-2,06-17-20-12:27:26,361.88,784.063972,0.000905,1.941832,400,0,0,0,0
sp.C,t3.large-4,06-17-20-13:21:29,361.88,202.355204,0.000963,0.501109,400,0,0,0,0
TaylorGreen,1node06,06-16-20-16:30:24,556.85,0,0.000278507941728,0.414233093863,1332,0,0,0,0
TaylorGreen,1node06,06-16-20-17:01:09,558.03,0,0.00027906219223,0.415099207166,1332,0,0,0,0
TaylorGreen,2node06,06-16-20-16:39:41,335.94,0,0.000467109433428,0.248846875297,1332,0,0,0,0
TaylorGreen,2node06,06-16-20-17:10:27,335.96,0,0.000463306184083,0.248963359777,1332,0,0,0,0
TaylorGreen,4node06,06-16-20-16:45:17,205.72,0,0.000774917698181,0.15125400007,1332,0,0,0,0
TaylorGreen,4node06,06-16-20-17:16:03,206.17,0,0.000772967751941,0.151582999272,1332,0,0,0,0
TaylorGreen,8node06,06-16-20-16:48:43,137.53,0,0.00118500579532,0.100191442995,1332,0,0,0,0
TaylorGreen,8node06,06-16-20-17:19:29,136.56,0,0.00120070227496,0.099508221443,1332,0,0,0,0
