test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
ft.C,m4.large-4,06-19-20-02:03:19,181.49,180.643652,0.000000,7.734475,20,8.170073,8.170073,16.2958876,7.3309365
ft.C,m5.large-2,06-20-20-11:45:17,118.66,117.876650,0.000000,4.946406,20,5.429687,5.429687,10.4379756,4.6760190999999995
ft.C,m5.large-2,06-20-20-10:51:14,119.64,118.853698,0.000000,4.998643,20,5.472835,5.472835,10.542364599999999,4.7238988
ft.C,m5.large-2,06-19-20-23:11:48,118.48,117.688344,0.000000,4.950581,20,5.476399,5.476399,10.459461199999998,4.682090699999999
ft.C,t3.large-2,06-17-20-19:50:55,133.57,132.667809,0.000000,5.559908,20,6.099631,6.099631,11.7330986,5.2565862
ft.C,t3.large-2,06-17-20-20:52:30,131.2,130.208769,0.000000,5.449004,20,5.970634,5.970634,11.4943646,5.150118900000001
ft.C,t3.large-2,06-17-20-12:17:14,133.22,132.169299,0.000000,5.577918,20,6.195131,6.195131,11.777027,5.2690003999999995
ft.C,t3.large-8,06-18-20-16:49:38,37.46,36.579953,0.000001,1.524047,20,1.704545,1.704545,3.2208349999999997,1.439963
ft.C,t3.large-8,06-18-20-17:28:19,38.19,37.116761,0.000001,1.546064,20,1.721841,1.721841,3.2606865999999997,1.4581591999999999
ft.C,t3.large-8,06-18-20-15:51:48,37.79,36.773569,0.000001,1.534634,20,1.718813,1.718813,3.2417944000000007,1.4490159
ft.C,m5.large-8,06-20-20-01:19:55,32.26,31.532460,0.000001,1.318112,20,1.466989,1.466989,2.7839206,1.2452614
ft.C,m5.large-8,06-20-20-02:34:19,32.01,31.301540,0.000001,1.309017,20,1.463296,1.463296,2.7664546,1.2368976999999999
ft.C,m5.large-8,06-20-20-01:59:01,32.69,31.961958,0.000001,1.336813,20,1.50396,1.50396,2.8256212000000005,1.2624146
ft.C,t3.large-4,06-17-20-22:15:47,75.42,74.314440,0.000000,3.105772,20,3.434651,3.434651,6.556688199999999,2.9348789999999996
ft.C,t3.large-4,06-17-20-13:15:12,74.24,73.400440,0.000000,3.068424,20,3.407831,3.407831,6.469362200000001,2.8938979999999996
ft.C,t3.large-4,06-18-20-10:31:25,75.54,74.482887,0.000000,3.115261,20,3.414814,3.414814,6.6019232,2.9594802000000002
ft.C,m4.large-2,06-18-20-21:54:46,300.69,299.782305,0.000000,12.795506,20,13.699202,13.699202,26.9610044,12.110581999999999
ft.C,m4.large-2,06-19-20-12:44:00,298.63,297.741088,0.000000,12.708595,20,13.542634,13.542634,26.774554799999997,12.033014
ft.C,m4.large-2,06-19-20-14:01:51,302.35,301.461048,0.000000,12.859874,20,13.71647,13.71647,27.0803438,12.1685249
ft.C,m5.large-4,06-20-20-10:09:19,67.87,67.119503,0.000000,2.808045,20,3.101387,3.101387,5.9358464,2.6577845
ft.C,m5.large-4,06-20-20-03:09:03,62.79,62.075499,0.000000,2.603418,20,2.90144,2.90144,5.499941400000001,2.4598267000000003
ft.C,m5.large-4,06-20-20-00:28:25,62.71,61.996276,0.000000,2.600128,20,2.885291,2.885291,5.4880148,2.4554783000000002
