test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
sp.C,t3.large-2,06-17-20-19:59:53,13:07.70,786.789936,0.000925,1.948158,400,1.97172,1.97172,3.9039637999999997,1.7548098999999997
sp.C,t3.large-2,06-17-20-12:27:26,13:04.98,784.063972,0.000905,1.941832,400,1.931658,1.931658,3.8822688,1.7479686
sp.C,t3.large-2,06-17-20-21:01:20,12:53.95,772.937879,0.000923,1.914308,400,1.893397,1.893397,3.7842128,1.7027667000000002
sp.C,t3.large-4,06-17-20-22:20:43,3:23.19,202.182847,0.000965,0.500293,400,0.505893,0.505893,1.0055399999999999,0.4521807
sp.C,t3.large-4,06-17-20-13:21:29,3:23.28,202.355204,0.000963,0.501109,400,0.503925,0.503925,1.0037668,0.45149090000000003
sp.C,t3.large-4,06-18-20-10:36:43,3:20.02,198.980386,0.000988,0.492726,400,0.493007,0.493007,0.9866568000000001,0.4440277
sp.C,node06-8,06-16-20-23:05:04,361.88,361.590438,0.000853,0.896268,400,0.907591,0.907591,1.8304193999999998,0.8244506000000001
sp.C,node06-8,06-16-20-14:23:38,362.34,362.021540,0.000853,0.897282,400,0.95125,0.95125,1.8388118000000002,0.8242809
sp.C,node06-8,06-16-20-20:09:40,362.59,362.317730,0.000837,0.898066,400,0.910257,0.910257,1.816872,0.8174103
sp.B,node06-2,06-16-20-13:42:36,220.89,220.626814,0.000867,0.546183,400,0.571248,0.571248,1.1384523999999998,0.5121013999999999
sp.B,node06-2,06-16-20-22:23:51,219.59,219.342832,0.000856,0.543043,400,0.570847,0.570847,1.1422446000000002,0.5140376
sp.B,node06-2,06-16-20-19:28:35,220.48,220.229086,0.000870,0.545246,400,0.576774,0.576774,1.1419678000000002,0.5133065000000001
sp.B,node06-4,06-16-20-13:46:17,78.69,78.424097,0.000903,0.194355,400,0.192776,0.192776,0.3923836,0.17691419999999997
sp.B,node06-4,06-16-20-19:32:16,78.66,78.396437,0.000904,0.194270,400,0.192917,0.192917,0.39343100000000003,0.1774238
sp.B,node06-4,06-16-20-22:27:30,78.55,78.292448,0.000909,0.194017,400,0.193301,0.193301,0.39212100000000005,0.1767304
sp.B,node06-1,06-16-20-13:39:04,211.94,211.700179,0.000854,0.524140,400,0.545963,0.545963,1.08694,0.48887369999999997
sp.B,node06-1,06-16-20-22:20:17,213.86,213.605986,0.000868,0.528785,400,0.554504,0.554504,1.0958088000000001,0.49245400000000006
sp.B,node06-1,06-16-20-19:25:02,212.91,212.677096,0.000870,0.526558,400,0.54505,0.54505,1.0868324,0.4889111999999999
sp.B,t3.large-2,06-17-20-12:23:03,3:09.51,188.563159,0.000933,0.466817,400,0.471087,0.471087,0.9489151999999998,0.4273489
sp.B,t3.large-2,06-17-20-20:57:20,3:10.30,189.282937,0.000926,0.468685,400,0.4745,0.4745,0.9401364000000001,0.42261820000000005
sp.B,t3.large-2,06-17-20-19:55:50,3:13.54,192.638140,0.000925,0.476781,400,0.478729,0.478729,0.9560692,0.43016170000000004
sp.B,t3.large-4,06-17-20-13:19:32,0:42.81,41.889233,0.000929,0.103634,400,0.100094,0.100094,0.200713,0.0903471
sp.B,t3.large-4,06-17-20-22:19:11,0:44.50,43.559309,0.000872,0.107802,400,0.111829,0.111829,0.2119838,0.094809
sp.B,t3.large-4,06-18-20-10:35:02,0:44.63,43.229322,0.000927,0.106996,400,0.106394,0.106394,0.2169782,0.0978497
sp.B,node06-8,06-16-20-19:33:34,78.98,78.724854,0.000906,0.195105,400,0.193991,0.193991,0.3943116,0.1777567
sp.B,node06-8,06-16-20-13:47:35,78.95,78.688262,0.000906,0.195060,400,0.193698,0.193698,0.39391380000000004,0.1775871
sp.B,node06-8,06-16-20-22:28:49,78.96,78.702051,0.001147,0.195031,400,0.193867,0.193867,0.3937198,0.1774732
bt.B,node06-2,06-16-20-12:40:35,277.39,277.260854,0.000659,1.365989,200,1.508132,1.508132,2.8466434,1.2725084999999998
bt.B,node06-2,06-16-20-21:21:52,275.58,275.447679,0.000662,1.357766,200,1.458617,1.458617,2.8072504,1.2577635
bt.B,node06-2,06-16-20-18:26:26,276.45,276.319871,0.000658,1.362113,200,1.472421,1.472421,2.8533644000000002,1.2794401
bt.B,node06-4,06-16-20-12:45:12,86.40,86.275310,0.000714,0.424864,200,0.459042,0.459042,0.8683154,0.38825350000000003
bt.B,node06-4,06-16-20-18:31:03,86.14,86.018961,0.000716,0.423634,200,0.451351,0.451351,0.8622284,0.3859791
bt.B,node06-4,06-16-20-21:26:27,85.80,85.680124,0.000708,0.421964,200,0.459013,0.459013,0.8611986,0.38469800000000004
bt.B,node06-1,06-16-20-18:22:03,263.41,263.280296,0.000658,1.297872,200,1.386644,1.386644,2.6816248,1.2021479999999998
bt.B,node06-1,06-16-20-12:36:07,267.62,267.503828,0.000648,1.318725,200,1.394365,1.394365,2.7021268,1.2116269
bt.B,node06-1,06-16-20-21:17:26,265.99,265.864524,0.000659,1.310739,200,1.387538,1.387538,2.6714846000000003,1.1969885000000002
bt.B,t3.large-2,06-17-20-19:27:57,4:05.15,244.384622,0.000634,1.204525,200,1.214146,1.214146,2.4238716000000005,1.0905212
bt.B,t3.large-2,06-17-20-20:29:37,4:10.07,249.291990,0.000613,1.229221,200,1.234376,1.234376,2.4807456,1.1169352
bt.B,t3.large-2,06-17-20-11:53:22,4:05.24,244.508633,0.000630,1.205503,200,1.210038,1.210038,2.42134,1.0896662000000001
bt.B,t3.large-4,06-17-20-13:07:02,1:06.34,65.559023,0.000629,0.322813,200,0.327955,0.327955,0.6497238000000001,0.29206640000000006
bt.B,t3.large-4,06-17-20-22:08:37,1:06.43,65.430154,0.000620,0.322143,200,0.334263,0.334263,0.6476497999999999,0.29039859999999995
bt.B,node06-8,06-16-20-18:32:29,87.78,87.663385,0.000854,0.431763,200,0.457622,0.457622,0.8781658,0.3933207
bt.B,node06-8,06-16-20-21:27:53,87.89,87.777992,0.000707,0.432324,200,0.45869,0.45869,0.8790682000000001,0.3936651
bt.B,node06-8,06-16-20-12:46:39,87.67,87.554795,0.000705,0.431347,200,0.458148,0.458148,0.8773142,0.3928423
TaylorGreen,8node06,06-16-20-16:48:43,137.53,0,0.00118500579532,0.100191442995,1332,0.0803520679474,0.0803520679474,0.15956082344053998,0.07174520492552999
TaylorGreen,8node06,06-16-20-17:19:29,136.56,0,0.00120070227496,0.099508221443,1332,0.0809569358826,0.0809569358826,0.16056838035586002,0.07218849658967
TaylorGreen,1node06,06-16-20-17:01:09,558.03,0,0.00027906219223,0.415099207166,1332,0.44069314003,0.44069314003,0.7896896362304,0.3507755041122
TaylorGreen,1node06,06-16-20-16:30:24,556.85,0,0.000278507941728,0.414233093863,1332,0.442386865616,0.442386865616,0.7853851795196,0.34845390319819997
TaylorGreen,4node06,06-16-20-16:45:17,205.72,0,0.000774917698181,0.15125400007,1332,0.131654024124,0.131654024124,0.2621350288392,0.1179021120072
TaylorGreen,4node06,06-16-20-17:16:03,206.17,0,0.000772967751941,0.151582999272,1332,0.13463306427,0.13463306427,0.26263818740800005,0.117855787277
TaylorGreen,2node06,06-16-20-16:39:41,335.94,0,0.000467109433428,0.248846875297,1332,0.236891031265,0.236891031265,0.45689859390240006,0.20476019382470004
TaylorGreen,2node06,06-16-20-17:10:27,335.96,0,0.000463306184083,0.248963359777,1332,0.236568212509,0.236568212509,0.4574648380281999,0.2050755977632
ft.C,node06-2,06-16-20-18:17:15,148.24,147.954737,0.000000,6.200078,20,6.747534,6.747534,13.1329648,5.891729
ft.C,node06-2,06-16-20-12:31:20,148.21,147.916070,0.000000,6.192329,20,6.695985,6.695985,13.098234,5.8795185
ft.C,node06-2,06-16-20-21:12:38,147.67,147.387355,0.000000,6.181093,20,6.728047,6.728047,13.058054799999999,5.856222699999998
ft.C,node06-4,06-16-20-12:33:49,86.58,86.306231,0.000000,3.632654,20,3.981686,3.981686,7.689880799999999,3.4467717999999996
